2025-11-14 18:40:43 | INFO     | root                 | Logging to file: logs/vman.log (rotation: 10.0MB, backups: 5)
2025-11-14 18:40:43 | INFO     | root                 | Unified logging configured (level=INFO, service=VMAN)
2025-11-14 18:40:43 | INFO     | network_manager      | NetworkManager initialized: VLAN=100, bridge=br-vman, subnet=192.168.100.0/24, gateway=192.168.100.1, dry_run=False
2025-11-14 18:40:51 | INFO     | root                 | Logging to file: logs/vman.log (rotation: 10.0MB, backups: 5)
2025-11-14 18:40:51 | INFO     | root                 | Unified logging configured (level=INFO, service=VMAN)
2025-11-14 18:40:51 | INFO     | network_manager      | NetworkManager initialized: VLAN=100, bridge=br-vman, subnet=192.168.100.0/24, gateway=192.168.100.1, dry_run=False
2025-11-14 18:40:51 | INFO     | INTEL.main           | HTTP GET /health -> 503 (2.93ms)
2025-11-14 18:40:51 | INFO     | httpx                | HTTP Request: GET http://testserver/health "HTTP/1.1 503 Service Unavailable"
2025-11-14 18:40:51 | INFO     | INTEL.main           | HTTP POST /disks -> 422 (1.11ms)
2025-11-14 18:40:51 | INFO     | httpx                | HTTP Request: POST http://testserver/disks "HTTP/1.1 422 Unprocessable Entity"
2025-11-14 18:40:51 | INFO     | INTEL.main           | HTTP POST /disks -> 400 (4.24ms)
2025-11-14 18:40:51 | INFO     | httpx                | HTTP Request: POST http://testserver/disks "HTTP/1.1 400 Bad Request"
2025-11-14 18:40:51 | INFO     | INTEL.main           | HTTP POST /disks -> 422 (0.93ms)
2025-11-14 18:40:51 | INFO     | httpx                | HTTP Request: POST http://testserver/disks "HTTP/1.1 422 Unprocessable Entity"
2025-11-14 18:40:51 | INFO     | INTEL.main           | HTTP POST /disks -> 422 (0.76ms)
2025-11-14 18:40:51 | INFO     | httpx                | HTTP Request: POST http://testserver/disks "HTTP/1.1 422 Unprocessable Entity"
2025-11-14 18:40:51 | INFO     | INTEL.main           | HTTP GET /disks -> 200 (1.40ms)
2025-11-14 18:40:51 | INFO     | httpx                | HTTP Request: GET http://testserver/disks "HTTP/1.1 200 OK"
2025-11-14 18:40:51 | INFO     | INTEL.main           | HTTP POST /disks -> 422 (1.33ms)
2025-11-14 18:40:51 | INFO     | httpx                | HTTP Request: POST http://testserver/disks "HTTP/1.1 422 Unprocessable Entity"
2025-11-14 18:40:51 | INFO     | INTEL.main           | HTTP POST /disks -> 422 (0.83ms)
2025-11-14 18:40:51 | INFO     | httpx                | HTTP Request: POST http://testserver/disks "HTTP/1.1 422 Unprocessable Entity"
2025-11-14 18:40:51 | INFO     | INTEL.main           | HTTP GET /disks -> 200 (1.12ms)
2025-11-14 18:40:51 | INFO     | httpx                | HTTP Request: GET http://testserver/disks "HTTP/1.1 200 OK"
2025-11-14 18:40:51 | INFO     | INTEL.main           | HTTP POST /disks -> 422 (0.72ms)
2025-11-14 18:40:51 | INFO     | httpx                | HTTP Request: POST http://testserver/disks "HTTP/1.1 422 Unprocessable Entity"
2025-11-14 18:40:51 | INFO     | INTEL.main           | HTTP GET /disks/nonexistent -> 404 (1.70ms)
2025-11-14 18:40:51 | INFO     | httpx                | HTTP Request: GET http://testserver/disks/nonexistent "HTTP/1.1 404 Not Found"
2025-11-14 18:40:51 | INFO     | INTEL.main           | HTTP POST /disks -> 422 (0.74ms)
2025-11-14 18:40:51 | INFO     | httpx                | HTTP Request: POST http://testserver/disks "HTTP/1.1 422 Unprocessable Entity"
2025-11-14 18:40:52 | INFO     | INTEL.main           | HTTP DELETE /disks/nonexistent -> 404 (1.10ms)
2025-11-14 18:40:52 | INFO     | httpx                | HTTP Request: DELETE http://testserver/disks/nonexistent "HTTP/1.1 404 Not Found"
2025-11-14 18:40:52 | INFO     | INTEL.main           | HTTP POST /disks -> 422 (1.11ms)
2025-11-14 18:40:52 | INFO     | httpx                | HTTP Request: POST http://testserver/disks "HTTP/1.1 422 Unprocessable Entity"
2025-11-14 18:40:52 | INFO     | INTEL.main           | HTTP POST /disks -> 422 (1.06ms)
2025-11-14 18:40:52 | INFO     | httpx                | HTTP Request: POST http://testserver/disks "HTTP/1.1 422 Unprocessable Entity"
2025-11-14 18:40:52 | INFO     | INTEL.main           | HTTP POST /disks -> 422 (0.91ms)
2025-11-14 18:40:52 | INFO     | httpx                | HTTP Request: POST http://testserver/disks "HTTP/1.1 422 Unprocessable Entity"
2025-11-14 18:40:52 | INFO     | INTEL.main           | HTTP POST /disks -> 422 (1.26ms)
2025-11-14 18:40:52 | INFO     | httpx                | HTTP Request: POST http://testserver/disks "HTTP/1.1 422 Unprocessable Entity"
2025-11-14 18:40:52 | INFO     | INTEL.main           | HTTP POST /disks -> 422 (0.97ms)
2025-11-14 18:40:52 | INFO     | httpx                | HTTP Request: POST http://testserver/disks "HTTP/1.1 422 Unprocessable Entity"
2025-11-14 18:40:52 | INFO     | INTEL.main           | HTTP GET /disks/'; DROP TABLE disks; -- -> 404 (1.48ms)
2025-11-14 18:40:52 | INFO     | httpx                | HTTP Request: GET http://testserver/disks/';%20DROP%20TABLE%20disks;%20-- "HTTP/1.1 404 Not Found"
2025-11-14 18:40:52 | INFO     | INTEL.main           | HTTP GET /etc/passwd -> 404 (0.26ms)
2025-11-14 18:40:52 | INFO     | httpx                | HTTP Request: GET http://testserver/etc/passwd "HTTP/1.1 404 Not Found"
2025-11-14 18:40:52 | INFO     | INTEL.main           | HTTP POST /disks -> 422 (1.01ms)
2025-11-14 18:40:52 | INFO     | httpx                | HTTP Request: POST http://testserver/disks "HTTP/1.1 422 Unprocessable Entity"
2025-11-14 18:40:52 | INFO     | INTEL.main           | HTTP POST /disks -> 400 (2.00ms)
2025-11-14 18:40:52 | INFO     | httpx                | HTTP Request: POST http://testserver/disks "HTTP/1.1 400 Bad Request"
2025-11-14 18:40:52 | INFO     | OBSERVER.observer    | Observer loop starting (check_interval=0.1s)
2025-11-14 18:40:52 | INFO     | OBSERVER.observer    | Observer started
2025-11-14 18:40:52 | INFO     | OBSERVER.observer    | Observer stopped
2025-11-14 18:40:52 | INFO     | OBSERVER.observer    | Observer loop starting (check_interval=0.1s)
2025-11-14 18:40:52 | INFO     | OBSERVER.observer    | Observer started
2025-11-14 18:40:52 | WARNING  | OBSERVER.observer    | Observer already running
2025-11-14 18:40:52 | INFO     | OBSERVER.observer    | Observer stopped
2025-11-14 18:40:52 | INFO     | OBSERVER.observer    | Observer loop starting (check_interval=0.1s)
2025-11-14 18:40:52 | INFO     | OBSERVER.observer    | Observer started
2025-11-14 18:40:52 | INFO     | OBSERVER.observer    | Observer stopped
2025-11-14 18:40:52 | WARNING  | OBSERVER.observer    | Observer not running
2025-11-14 18:40:53 | WARNING  | OBSERVER.observer    | db_session_factory not set; skipping VM coherence check
2025-11-14 18:40:53 | WARNING  | OBSERVER.observer    | db_session_factory not set; skipping disk coherence check
2025-11-14 18:40:53 | INFO     | OBSERVER.observer    | Observer loop starting (check_interval=0.1s)
2025-11-14 18:40:53 | INFO     | OBSERVER.observer    | Observer started
2025-11-14 18:40:53 | INFO     | OBSERVER.observer    | Observer stopped
2025-11-14 18:40:53 | INFO     | OBSERVER.observer    | Observer loop starting (check_interval=0.1s)
2025-11-14 18:40:53 | INFO     | OBSERVER.observer    | Observer started
2025-11-14 18:40:53 | INFO     | OBSERVER.observer    | Observer stopped
2025-11-14 18:40:53 | INFO     | OBSERVER.observer    | Observer loop starting (check_interval=0.1s)
2025-11-14 18:40:53 | INFO     | OBSERVER.observer    | Observer started
2025-11-14 18:40:53 | INFO     | OBSERVER.observer    | Observer stopped
2025-11-14 18:40:53 | INFO     | OBSERVER.observer    | Observer loop starting (check_interval=0.1s)
2025-11-14 18:40:53 | INFO     | OBSERVER.observer    | Observer started
2025-11-14 18:40:53 | INFO     | OBSERVER.observer    | Observer stopped
2025-11-14 18:40:53 | INFO     | OBSERVER.observer    | Observer loop starting (check_interval=0.1s)
2025-11-14 18:40:53 | INFO     | OBSERVER.observer    | Observer started
